"","cell_id","class_label"
"870--forelimb: Endothelial-E12","870_Forelimb_E10.5_15.0",3
"871--forelimb: Epithelial 1-E12","871_Forelimb_E10.5_15.0",20
"873--forelimb: Mesenchymal 2-E12","873_Forelimb_E10.5_15.0",18
"874--forelimb: Muscle 1-E12","874_Forelimb_E10.5_15.0",18
"875--forelimb: Muscle 2-E12","875_Forelimb_E10.5_15.0",18
"876--forelimb: Muscle 3-E12","876_Forelimb_E10.5_15.0",25
"881--forelimb: Endothelial-E13","881_Forelimb_E10.5_15.0",3
"882--forelimb: Epithelial 1-E13","882_Forelimb_E10.5_15.0",20
"883--forelimb: Epithelial 2-E13","883_Forelimb_E10.5_15.0",2
"886--forelimb: Macrophage-E13","886_Forelimb_E10.5_15.0",5
"889--forelimb: Muscle 2-E13","889_Forelimb_E10.5_15.0",18
"890--forelimb: Muscle 3-E13","890_Forelimb_E10.5_15.0",25
"892--forelimb: Neural crest-E13","892_Forelimb_E10.5_15.0",16
"895--forelimb: Endothelial-E13.5","895_Forelimb_E10.5_15.0",3
"896--forelimb: Epithelial 1-E13.5","896_Forelimb_E10.5_15.0",20
"897--forelimb: Epithelial 2-E13.5","897_Forelimb_E10.5_15.0",2
"901--forelimb: Macrophage-E13.5","901_Forelimb_E10.5_15.0",5
"903--forelimb: Muscle 2-E13.5","903_Forelimb_E10.5_15.0",18
"904--forelimb: Muscle 3-E13.5","904_Forelimb_E10.5_15.0",25
"906--forelimb: Neural crest-E13.5","906_Forelimb_E10.5_15.0",16
"910--forelimb: Endothelial-E14","910_Forelimb_E10.5_15.0",3
"911--forelimb: Epithelial 1-E14","911_Forelimb_E10.5_15.0",20
"912--forelimb: Epithelial 2-E14","912_Forelimb_E10.5_15.0",2
"917--forelimb: Macrophage-E14","917_Forelimb_E10.5_15.0",5
"919--forelimb: Muscle 2-E14","919_Forelimb_E10.5_15.0",18
"922--forelimb: Neural crest-E14","922_Forelimb_E10.5_15.0",16
"924--forelimb: Tenocyte-E14","924_Forelimb_E10.5_15.0",18
"927--forelimb: EMP-E15","927_Forelimb_E10.5_15.0",19
"928--forelimb: Endothelial-E15","928_Forelimb_E10.5_15.0",3
"929--forelimb: Epithelial 1-E15","929_Forelimb_E10.5_15.0",20
"930--forelimb: Epithelial 2-E15","930_Forelimb_E10.5_15.0",2
"935--forelimb: Macrophage-E15","935_Forelimb_E10.5_15.0",5
"937--forelimb: Muscle 2-E15","937_Forelimb_E10.5_15.0",18
"938--forelimb: Muscle 3-E15","938_Forelimb_E10.5_15.0",25
"940--forelimb: Neural crest-E15","940_Forelimb_E10.5_15.0",16
"942--forelimb: Perichondrial-E15","942_Forelimb_E10.5_15.0",18
"943--forelimb: Smooth muscle-E15","943_Forelimb_E10.5_15.0",26
"948--hindbrain: NC-E9.5-11.5","948_E9.5_11.5_Tang",24
"950--hindbrain: NC-E9.5-11.5","950_E9.5_11.5_Tang",27
