,age,tissue,cell_ontology_class,ncells
714,30m,Pancreas,pancreatic D cell,33
715,30m,Pancreas,pancreatic PP cell,3
716,30m,Pancreas,pancreatic acinar cell,1953
717,30m,Pancreas,pancreatic ductal cel,248
718,30m,Pancreas,pancreatic stellate cell,9
719,30m,Spleen,B cell,4472
720,30m,Spleen,NK cell,97
721,30m,Spleen,T cell,750
722,30m,Spleen,erythroblast,209
723,30m,Spleen,granulocyte,780
724,30m,Spleen,immature NKT cell,22
725,30m,Spleen,macrophage,428
726,30m,Spleen,macrophage dendritic cell progenitor,32
727,30m,Spleen,mature NK T cell,891
728,30m,Spleen,megakaryocyte-erythroid progenitor cell,559
729,30m,Spleen,plasma cell,369
730,30m,Spleen,proerythroblast,337
